96,-81,-333
97,-82,-337
97,-82,-337
97,-82,-338
98,-80,-333
96,-81,-333
96,-81,-333
96,-81,-333
101,-82,-335
97,-78,-337
98,-81,-335
98,-81,-335
97,-83,-333
95,-82,-333
98,-80,-335
98,-80,-335
100,-81,-334
100,-79,-336
98,-80,-336
100,-81,-333
100,-81,-333
97,-81,-329
98,-82,-331
98,-77,-337
98,-77,-337
99,-79,-337
98,-80,-334
97,-81,-332
100,-80,-333
100,-80,-333
98,-80,-336
99,-78,-338
98,-80,-335
98,-80,-335
98,-84,-334
98,-82,-332
95,-77,-334
95,-77,-334
99,-79,-335
99,-77,-337
100,-81,-333
98,-83,-333
98,-83,-333
99,-79,-332
99,-80,-336
100,-79,-336
100,-79,-336
96,-79,-335
96,-82,-331
97,-81,-332
95,-79,-334
95,-79,-334
101,-80,-333
98,-78,-337
99,-79,-336
99,-79,-336
94,-80,-330
98,-83,-333
96,-77,-335
98,-77,-336
98,-77,-336
94,-75,-334
94,-75,-330
94,-78,-325
94,-78,-325
92,-78,-331
94,-72,-334
94,-73,-336
93,-73,-332
93,-73,-332
93,-75,-332
94,-74,-330
94,-74,-332
94,-74,-332
95,-72,-332
97,-73,-330
92,-73,-328
92,-73,-328
93,-75,-326
92,-76,-331
90,-70,-330
91,-72,-333
91,-72,-333
88,-72,-330
89,-72,-325
90,-71,-327
90,-71,-327
89,-72,-330
92,-73,-334
89,-71,-328
90,-71,-328
90,-71,-328
88,-74,-326
92,-72,-327
89,-69,-332
89,-69,-332
91,-72,-332
89,-73,-330
89,-72,-327
85,-71,-326
85,-71,-326
89,-72,-328
91,-72,-332
91,-72,-330
91,-72,-330
89,-72,-329
89,-73,-328
90,-72,-329
90,-72,-329
90,-67,-330
90,-71,-333
87,-72,-329
88,-75,-326
88,-75,-326
90,-73,-329
93,-72,-330
93,-73,-331
93,-73,-331
91,-68,-331
88,-72,-328
88,-72,-327
93,-72,-328
93,-72,-328
87,-71,-329
89,-70,-331
92,-72,-331
92,-72,-331
89,-70,-328
92,-75,-325
91,-74,-327
86,-89,-335
86,-89,-335
93,-78,-333
82,-66,-341
60,-64,-352
60,-64,-352
54,-60,-362
54,-58,-370
58,-62,-378
68,-47,-381
68,-47,-381
69,-35,-379
77,-27,-376
94,-27,-374
94,-27,-374
87,-40,-381
98,-34,-382
94,-40,-376
94,-40,-376
94,-38,-375
94,-40,-374
96,-38,-374
95,-39,-378
95,-39,-378
97,-37,-375
93,-41,-374
94,-44,-375
94,-44,-375
94,-38,-378
91,-40,-375
92,-39,-380
90,-42,-379
90,-42,-379
88,-39,-377
84,-26,-374
86,-34,-383
86,-34,-383
87,-13,-381
86,-22,-377
79,-9,-379
78,-6,-376
78,-6,-376
75,5,-377
74,8,-382
72,16,-383
72,16,-383
69,21,-379
64,20,-379
66,20,-378
65,21,-382
65,21,-382
61,23,-386
61,17,-382
62,20,-379
62,20,-379
63,19,-379
65,23,-379
58,31,-383
58,31,-383
58,34,-385
54,37,-383
51,39,-380
50,39,-378
50,39,-378
49,42,-383
47,42,-385
43,52,-385
43,52,-385
42,51,-381
41,48,-377
35,51,-382
34,55,-383
34,55,-383
34,55,-387
30,59,-383
27,62,-382
27,62,-382
25,61,-379
26,66,-384
21,71,-384
15,74,-383
15,74,-383
17,76,-383
12,75,-377
9,80,-383
9,80,-383
7,80,-384
4,84,-388
4,85,-387
0,88,-383
0,88,-383
1,86,-380
-3,91,-386
-11,92,-387
-11,92,-387
-9,97,-387
-16,97,-383
-17,94,-383
-17,94,-383
-19,98,-384
-24,103,-388
-31,108,-387
-29,105,-387
-29,105,-387
-32,108,-387
-33,106,-382
-36,105,-388
-36,105,-388
-39,108,-388
-46,112,-391
-46,109,-388
-51,110,-386
-51,110,-386
-55,114,-390
-61,119,-389
-71,123,-388
-71,123,-388
-80,128,-387
-91,129,-382
-98,127,-380
-100,128,-384
-100,128,-384
-101,128,-386
-98,123,-388
-94,127,-385
-94,127,-385
-94,123,-382
-93,119,-385
-94,124,-386
-94,123,-388
-92,123,-388
-94,124,-386
-93,120,-385
-92,123,-383
-92,123,-383
-92,123,-384
-94,114,-390
-90,111,-394
-90,111,-394
-92,106,-390
-94,110,-386
-95,113,-386
-97,140,-380
-97,140,-380
-99,127,-390
-98,125,-387
-100,122,-385
-100,122,-385
-97,123,-381
-99,124,-386
-100,119,-387
-100,129,-386
-100,129,-386
-98,123,-384
-98,114,-386
-100,103,-386
-100,103,-386
-109,109,-391
-118,112,-394
-127,114,-390
-137,120,-386
-137,120,-386
-148,127,-379
-160,131,-382
-168,132,-383
-168,132,-383
-175,129,-383
